?ªøÂÜ?ÈÉ®ID,ÂêçÂâç
1102959,1102959
1103077,1103077
1102935,1102935
1102730,1102730
1106087,1106087
1112244,1112244
1102684,1102684
1106117,1106117
1102936,1102936
1102692,1102692
1106171,1106171
1112246,1112246
1106160,1106160
1106030,1106030
1102757,1102757
1106008,1106008
1102742,1102742
1106157,1106157
1102903,1102903
1106129,1106129
1102957,1102957
1102733,1102733
1103067,1103067
1106851,1106851
1106251,1106251
1111893,1111893
1111889,1111889
1102743,1102743
1102739,1102739
1115155,1115155
1111879,1111879
1112250,1112250
1112240,1112240
1111888,1111888
1102718,1102718
1106168,1106168
1106152,1106152
1115023,1115023
1111890,1111890
1106079,1106079
1106148,1106148
1106192,1106192
1102927,1102927
1106165,1106165
1102723,1102723
1102899,1102899
1112238,1112238
1112253,1112253
1102670,1102670
1102954,1102954
1106116,1106116
1102688,1102688
1102715,1102715
1105996,1105996
1102720,1102720
1102941,1102941
1102716,1102716
1102705,1102705
1103070,1103070
1102700,1102700
1102747,1102747
1102881,1102881
1112254,1112254
1102904,1102904
1106041,1106041
1102895,1102895
1106143,1106143
1102872,1102872
1106075,1106075
1106091,1106091
1112245,1112245
1107298,1107298
1102755,1102755
1102894,1102894
1106049,1106049
1102741,1102741
1102738,1102738
1106159,1106159
1111892,1111892
1102891,1102891
1106252,1106252
1106059,1106059
1106130,1106130
1102725,1102725
1102691,1102691
1106113,1106113
1115024,1115024
1106259,1106259
1102694,1102694
1102929,1102929
1102925,1102925
1102713,1102713
1102952,1102952
1102923,1102923
1102687,1102687
1103076,1103076
1102737,1102737
1106398,1106398
1102962,1102962
1106090,1106090
1102961,1102961
1106121,1106121
1102924,1102924
1112237,1112237
1102689,1102689
1102897,1102897
1102882,1102882
1106051,1106051
1102912,1102912
1106027,1106027
1102916,1102916
1102709,1102709
1106006,1106006
1102879,1102879
1102942,1102942
1106147,1106147
1102690,1102690
1106081,1106081
1102673,1102673
1102908,1102908
1111895,1111895
1106043,1106043
1112243,1112243
1106111,1106111
1103073,1103073
1102678,1102678
1111877,1111877
1106095,1106095
1111874,1111874
1102761,1102761
1111873,1111873
1106086,1106086
1102943,1102943
1106069,1106069
1111891,1111891
1103066,1103066
1106170,1106170
1112239,1112239
1106097,1106097
1102732,1102732
1102674,1102674
1102729,1102729
1106248,1106248
1102920,1102920
1106145,1106145
1106149,1106149
1102898,1102898
1102915,1102915
1106109,1106109
1102703,1102703
1102724,1102724
1102666,1102666
1106133,1106133
1102682,1102682
1102753,1102753
1102950,1102950
1102704,1102704
1106200,1106200
1112242,1112242
1106184,1106184
1106795,1106795
1102719,1102719
1106032,1106032
1115152,1115152
1106042,1106042
1106078,1106078
1106060,1106060
1112234,1112234
1111899,1111899
1102926,1102926
1106575,1106575
1106341,1106341
1106076,1106076
1102669,1102669
1102675,1102675
1102686,1102686
1102680,1102680
1106265,1106265
1106115,1106115
1112230,1112230
1111897,1111897
1102867,1102867
1111878,1111878
1102946,1102946
1106169,1106169
1115176,1115176
1102914,1102914
1102906,1102906
1102746,1102746
1106202,1106202
1106313,1106313
1102886,1102886
1106061,1106061
1106104,1106104
1106107,1106107
1111894,1111894
1111900,1111900
1102876,1102876
1106019,1106019
1102752,1102752
1102890,1102890
1102874,1102874
1102863,1102863
1106158,1106158
1112249,1112249
1102878,1102878
1106034,1106034
1102708,1102708
1106110,1106110
1106105,1106105
1106163,1106163
1106071,1106071
1102683,1102683
1106054,1106054
1102744,1102744
1111898,1111898
1106260,1106260
1106155,1106155
1102921,1102921
1106156,1106156
1102864,1102864
1102722,1102722
1106151,1106151
1102910,1102910
1102951,1102951
1102745,1102745
1112263,1112263
1102668,1102668
1102676,1102676
1102901,1102901
1106096,1106096
1106137,1106137
1102866,1102866
1106085,1106085
1106187,1106187
1106024,1106024
1102913,1102913
1102754,1102754
1106106,1106106
1106029,1106029
1106153,1106153
