?ªøÂÜ?ÈÉ®ID,ÂêçÂâç
1356535,1356535
1356828,1356828
1356794,1356794
1356703,1356703
1356725,1356725
1356725,1356725
1356538,1356538
1356683,1356683
1356728,1356728
1356871,1356871
1356830,1356830
1356830,1356830
1356684,1356684
1356685,1356685
1356872,1356872
1356831,1356831
1356831,1356831
1356873,1356873
1356803,1356803
1356833,1356833
1356833,1356833
1356832,1356832
1356832,1356832
1356729,1356729
1356834,1356834
1356687,1356687
1356688,1356688
1356766,1356766
1356730,1356730
1356808,1356808
1356552,1356552
1356552,1356552
1356737,1356737
1356506,1356506
1356777,1356777
1356696,1356696
1356553,1356553
1356878,1356878
1356842,1356842
1356778,1356778
1356510,1356510
1356509,1356509
1356698,1356698
1356698,1356698
1356811,1356811
1356554,1356554
1356554,1356554
1356656,1356656
1356555,1356555
1356657,1356657
1356779,1356779
1356511,1356511
1356844,1356844
1356843,1356843
1356513,1356513
1356513,1356513
1356513,1356513
1356513,1356513
1356513,1356513
1356513,1356513
1356513,1356513
1356513,1356513
1356513,1356513
1356513,1356513
1356742,1356742
1356846,1356846
1356701,1356701
1356845,1356845
1356658,1356658
1356847,1356847
1356702,1356702
1356702,1356702
1356483,1356483
1356780,1356780
1356667,1356667
1356712,1356712
1356711,1356711
1356711,1356711
1356789,1356789
1356789,1356789
1356668,1356668
1356669,1356669
1356527,1356527
1356527,1356527
1356713,1356713
1356484,1356484
1356528,1356528
1356790,1356790
1356823,1356823
1356823,1356823
1356485,1356485
1356529,1356529
1356670,1356670
1356751,1356751
1356530,1356530
1356530,1356530
1356714,1356714
1356758,1356758
1356719,1356719
1356673,1356673
1356826,1356826
1356490,1356490
1356490,1356490
1356827,1356827
1356674,1356674
1356491,1356491
1356675,1356675
1356675,1356675
1356866,1356866
1356866,1356866
1356866,1356866
1356866,1356866
1356792,1356792
1356791,1356791
1356791,1356791
1356759,1356759
1356759,1356759
1356492,1356492
1356492,1356492
1356492,1356492
1356492,1356492
1356867,1356867
1356867,1356867
1356761,1356761
1356760,1356760
1356720,1356720
1356762,1356762
1356793,1356793
1356496,1356496
1356796,1356796
1356795,1356795
1356795,1356795
1356797,1356797
1356868,1356868
1356868,1356868
1356763,1356763
1356763,1356763
1356722,1356722
1356721,1356721
1356721,1356721
1356764,1356764
1356678,1356678
1356679,1356679
1356679,1356679
1356536,1356536
1356497,1356497
1356497,1356497
1356798,1356798
1356680,1356680
1356723,1356723
1356681,1356681
1356799,1356799
1356537,1356537
1356724,1356724
1356724,1356724
1356869,1356869
1356800,1356800
1356829,1356829
1356829,1356829
1356829,1356829
1356829,1356829
1356829,1356829
1356829,1356829
1356682,1356682
1356801,1356801
1356870,1356870
1356870,1356870
1356726,1356726
1356765,1356765
1356802,1356802
1356802,1356802
1356727,1356727
1356539,1356539
1356686,1356686
1356686,1356686
1356540,1356540
1356540,1356540
1356767,1356767
1356874,1356874
1356541,1356541
1356498,1356498
1356498,1356498
1356542,1356542
1356768,1356768
1356835,1356835
1356835,1356835
1356689,1356689
1356875,1356875
1356769,1356769
1356769,1356769
1356543,1356543
1356543,1356543
1356499,1356499
1356771,1356771
1356771,1356771
1356770,1356770
1356804,1356804
1356804,1356804
1356731,1356731
1356544,1356544
1356500,1356500
1356690,1356690
1356732,1356732
1356732,1356732
1356545,1356545
1356772,1356772
1356733,1356733
1356805,1356805
1356877,1356877
1356876,1356876
1356773,1356773
1356501,1356501
1356546,1356546
1356546,1356546
1356691,1356691
1356547,1356547
1356774,1356774
1356774,1356774
1356775,1356775
1356692,1356692
1356692,1356692
1356693,1356693
1356776,1356776
1356734,1356734
1356734,1356734
1356735,1356735
1356736,1356736
1356837,1356837
1356836,1356836
1356694,1356694
1356548,1356548
1356548,1356548
1356806,1356806
1356502,1356502
1356838,1356838
1356838,1356838
1356839,1356839
1356503,1356503
1356503,1356503
1356695,1356695
1356695,1356695
1356840,1356840
1356807,1356807
1356807,1356807
1356841,1356841
1356504,1356504
1356550,1356550
1356550,1356550
1356505,1356505
1356549,1356549
1356549,1356549
1356551,1356551
1357065,1357065
1357065,1357065
1357065,1357065
1356998,1356998
1357026,1357026
1357076,1357076
1357077,1357077
1356973,1356973
1356973,1356973
1356943,1356943
1356942,1356942
1357078,1357078
1357047,1357047
1357047,1357047
1356944,1356944
1356944,1356944
1357028,1357028
1357027,1357027
1357079,1357079
1357079,1357079
1357079,1357079
1357079,1357079
1357048,1357048
1356999,1356999
1356981,1356981
1357085,1357085
1356909,1356909
1356954,1356954
1357011,1357011
1357011,1357011
1357013,1357013
1357013,1357013
1356921,1356921
1356921,1356921
1357012,1357012
1356889,1356889
1356889,1356889
1356888,1356888
1356922,1356922
1356922,1356922
1357014,1357014
1356923,1356923
1356982,1356982
